,N,Seed,Lambda,Beta,Theta,Relative Error 5%,TLA.Time 5%,IP.Time 5%,Total.TLA.Time 5%,Relative Error 1%,TLA.Time 1%,IP.Time 1%,Total.TLA.Time 1%,Exact.Time,Num.Facilities
0,80,100,1,1,1,0.002662215,2.6,0.13,2.73,0,5.62,0.16,5.78,18.42,3
1,80,101,1,1,1,0.000674365,2.65,0.21,2.86,0.000674365,5.73,0.25,5.98,37.38,3
2,80,102,1,1,1,0,2.78,0.11,2.89,0,6.04,0.23,6.27,30.16,3
3,80,103,1,1,1,0,2.58,0.1,2.68,0,5.92,0.15,6.07,16.66,3
4,80,104,1,1,1,0,2.68,0.11,2.79,0,6.14,0.13,6.27,20.05,3
5,90,100,1,1,1,0.005161056,3.56,0.23,3.79,0.005161056,8.47,0.4,8.87,33.3,3
6,90,101,1,1,1,0,3.65,0.16,3.81,0,8.63,0.2,8.83,20.25,3
7,90,102,1,1,1,0,3.65,0.1,3.75,0,8.67,0.2,8.87,16.1,3
8,90,103,1,1,1,0.000527748,3.56,0.23,3.79,0.000527748,8.49,0.22,8.71,39.09,3
9,90,104,1,1,1,0,3.72,0.2,3.92,0,8.5,0.3,8.8,19.69,3
10,100,100,1,1,1,0,4.52,0.06,4.58,0,10.09,0.16,10.25,7.67,3
11,100,101,1,1,1,0,4.44,0.18,4.62,0,9.84,0.23,10.07,19.91,3
12,100,102,1,1,1,0,4.62,0.22,4.84,0,10.14,0.35,10.49,37.83,3
13,100,103,1,1,1,0,4.38,0.18,4.56,0,10.02,0.27,10.29,6.27,3
14,100,104,1,1,1,0,4.58,0.21,4.79,0,10.61,0.23,10.84,28.02,3
15,110,100,1,1,1,0,5.39,0.39,5.78,0,12.95,0.41,13.36,48.45,3
16,110,101,1,1,1,0,5.65,0.15,5.8,0,12.48,5.89,18.37,16.12,3
17,110,102,1,1,1,0,5.52,0.19,5.71,0,12.35,0.33,12.68,19.55,3
18,110,103,1,1,1,0,5.33,0.2,5.53,0,12.71,0.29,13,30.07,3
19,110,104,1,1,1,0,5.28,0.09,5.37,0,12.19,0.23,12.42,19.25,3
20,120,100,1,1,1,0,6.33,0.19,6.52,0,14.81,0.38,15.19,27.9,3
21,120,101,1,1,1,0,6.78,0.22,7,0,14.99,0.36,15.35,35.22,3
22,120,102,1,1,1,0,6.96,0.28,7.24,0,15.67,0.39,16.06,27.09,3
23,120,103,1,1,1,0,6.76,0.54,7.3,0,15.36,0.34,15.7,41.6,3
24,120,104,1,1,1,0,6.85,0.21,7.06,0,15.31,0.26,15.57,10.67,3
25,130,100,1,1,1,0,7.76,0.43,8.19,0,17.6,0.58,18.18,34.77,3
26,130,101,1,1,1,0,7.96,0.26,8.22,0,17.72,0.29,18.01,10.95,3
27,130,102,1,1,1,0,7.79,0.22,8.01,0,17.23,0.37,17.6,25.31,3
28,130,103,1,1,1,0,7.85,0.54,8.39,0,17.91,0.45,18.36,28.5,3
29,130,104,1,1,1,0,7.67,0.52,8.19,0,17.46,0.31,17.77,27.15,3
30,140,100,1,1,1,0,9.32,0.59,9.91,0,21.06,0.62,21.68,78.44,3
31,140,101,1,1,1,0,9.66,0.35,10.01,0,21.03,0.36,21.39,42.22,3
32,140,102,1,1,1,0,8.89,0.3,9.19,0,20.29,0.39,20.68,9.53,3
33,140,103,1,1,1,0,9.25,0.24,9.49,0,20.76,0.73,21.49,27.67,3
34,140,104,1,1,1,0,9,0.24,9.24,0,21.11,0.33,21.44,30.94,3
35,160,100,1,1,1,0,12.33,0.5,12.83,0,27.63,0.55,28.18,46.53,3
36,160,101,1,1,1,0,11.69,0.39,12.08,0,26.85,0.67,27.52,9.13,3
37,160,102,1,1,1,0,12.06,0.28,12.34,0,26.93,0.47,27.4,10,3
38,160,103,1,1,1,0.007374519,12.16,0.41,12.57,0,27.8,0.6,28.4,12.32,3
39,160,104,1,1,1,0,11.99,0.19,12.18,0,26.86,0.26,27.12,14.44,3
40,180,100,1,1,1,0,15.99,0.4,16.39,0,35.58,0.58,36.16,42.79,3
41,180,101,1,1,1,0,15.87,0.61,16.48,0,36,0.7,36.7,45.62,3
42,180,102,1,1,1,0,16.41,0.6,17.01,0,36.56,0.89,37.45,11.67,3
43,180,103,1,1,1,0,15.88,0.36,16.24,0,36.16,0.54,36.7,7.83,3
44,180,104,1,1,1,0,15.62,0.39,16.01,0,35.44,0.48,35.92,6.82,3
45,200,100,1,1,1,0,19.41,0.64,20.05,0,44.11,1.1,45.21,50.1,3
46,200,101,1,1,1,0,19.9,0.36,20.26,0,44.66,0.39,45.05,12.53,3
47,200,102,1,1,1,0,19.21,0.63,19.84,0,44.02,0.8,44.82,14.3,3
48,200,103,1,1,1,0,20.11,0.51,20.62,0,45.11,0.79,45.9,18.16,3
49,200,104,1,1,1,0,19.53,0.87,20.4,0,42.93,0.86,43.79,17.56,3
50,250,100,1,1,1,0,29.93,0.72,30.65,0,68.06,1.06,69.12,13.19,3
51,250,101,1,1,1,0,31.03,0.33,31.36,0,68.57,0.31,68.88,8.32,3
52,250,102,1,1,1,0,31.22,0.58,31.8,0,69.55,0.63,70.18,15.44,3
53,250,103,1,1,1,0,30.43,0.77,31.2,0,69.69,1.01,70.7,13.49,3
54,250,104,1,1,1,0,30.69,0.59,31.28,0,69.65,0.72,70.37,11.72,3
55,300,100,1,1,1,0,45.39,1.49,46.88,0,101.69,1.57,103.26,18.91,3
56,300,101,1,1,1,0,45,0.62,45.62,0,103.44,0.94,104.38,20.23,3
57,300,102,1,1,1,0,44.91,0.52,45.43,0,100.57,0.69,101.26,19.99,3
58,300,103,1,1,1,0,44.07,0.86,44.93,0,99.47,1.42,100.89,21.61,3
59,300,104,1,1,1,0,44.84,0.82,45.66,0,102.3,0.78,103.08,16.67,3
60,350,100,1,1,1,0,61.36,0.61,61.97,0,137.36,0.76,138.12,27.94,3
61,350,101,1,1,1,0,60.3,0.57,60.87,0,138.58,0.74,139.32,16.44,3
62,350,102,1,1,1,0,61.8,0.56,62.36,0,139.1,0.72,139.82,21.93,3
63,350,103,1,1,1,0,62.29,0.54,62.83,0,140.1,0.72,140.82,28.9,3
64,350,104,1,1,1,0,61.33,0.92,62.25,0,138.35,1.3,139.65,29.96,3
65,400,100,1,1,1,0,80.11,0.64,80.75,0,183.57,0.75,184.32,29.29,3
66,400,101,1,1,1,0,80.42,0.62,81.04,0,184.84,0.75,185.59,16.85,3
67,400,102,1,1,1,0,81.93,1.23,83.16,0,186.54,1.62,188.16,25.62,3
68,400,103,1,1,1,0,77.88,0.45,78.33,0,177.13,0.67,177.8,34.18,3
69,400,104,1,1,1,0,81.67,0.85,82.52,0,187.11,1.24,188.35,23.58,3
70,450,100,1,1,1,0.005206858,105.75,0.73,106.48,0,241.03,1.06,242.09,24.98,3
71,450,101,1,1,1,0,104.33,0.58,104.91,0,239.36,0.7,240.06,19.63,3
72,450,102,1,1,1,0,103.33,0.85,104.18,0,237.51,1.13,238.64,58.7,3
73,450,103,1,1,1,0,101.62,0.89,102.51,0,231.62,0.95,232.57,18.26,3
74,450,104,1,1,1,0,105.36,0.82,106.18,0,238.19,1.12,239.31,18.57,3
75,500,100,1,1,1,0,128.07,0.69,128.76,0,295.82,0.85,296.67,17.27,3
76,500,101,1,1,1,0,127.87,1.85,129.72,0,287.87,2.83,290.7,70.73,3
77,500,102,1,1,1,0,126.22,1,127.22,0,287.83,1.27,289.1,56.21,3
78,500,103,1,1,1,0,130.08,2.06,132.14,0,296.51,2.33,298.84,74.7,3
79,500,104,1,1,1,0,134.7,0.81,135.51,0,298,1,299,43.33,3
80,550,100,1,1,1,0,160.97,1.16,162.13,0,363.03,1.16,364.19,19.75,3
81,550,101,1,1,1,0,189.44,1.46,190.9,0,363.86,1.61,365.47,81.64,3
82,550,102,1,1,1,0,157.7,0.89,158.59,0,363.25,1.08,364.33,17.43,3
83,550,103,1,1,1,0,155.26,1.62,156.88,0,352.12,2.25,354.37,67.68,3
84,550,104,1,1,1,0.004864841,157.01,1.77,158.78,0,353.66,2.09,355.75,39.37,3
85,600,100,1,1,1,0,183.87,1.02,184.89,0,421.57,1.35,422.92,22.02,3
86,600,101,1,1,1,0,182.67,2.1,184.77,0,413.6,2.75,416.35,36.8,3
87,600,102,1,1,1,0,183.76,0.93,184.69,0,422.06,1.27,423.33,22.18,3
88,600,103,1,1,1,0,183.95,1.11,185.06,0,418.91,1.34,420.25,75.98,3
89,600,104,1,1,1,0,182.57,1.52,184.09,0,418.92,3.51,422.43,111.65,3
